,gene_id,gene_name,gene_ontology
918,slr0105,slr0105,cytosol
919,slr0105,slr0105,ATP binding
920,slr0105,slr0105,ATP hydrolysis activity
921,slr0105,slr0105,cytoplasmic side of plasma membrane
922,slr0105,slr0105,negative regulation of cell division
923,sll0109,aroH,chorismate metabolic process
924,sll0109,aroH,chorismate mutase activity
929,slr0616,slr0616,transmembrane transport
930,slr0616,slr0616,transmembrane transporter activity
931,slr0615,slr0615,ATPase-coupled transmembrane transporter activity
932,slr0615,slr0615,transmembrane transport
935,sll0596,sll0596,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides"
936,sll0596,sll0596,riboflavin biosynthetic process
937,sll0597,sll0597,transmembrane transport
938,sll0467,queA,tRNA wobble guanine modification
939,sll0467,queA,queuosine biosynthetic process
940,sll0467,queA,S-adenosylmethionine:tRNA ribosyltransferase-isomerase activity
945,sll1080,sll1080,transport
946,sll1799,rplC,cytosolic large ribosomal subunit
947,sll1799,rplC,structural constituent of ribosome
950,slr1066,slr1066,lipopolysaccharide biosynthetic process
951,slr1066,slr1066,glycosyltransferase activity
952,slr1077,slr1077,glycosyltransferase activity
953,slr1077,slr1077,lipopolysaccharide biosynthetic process
962,slr1592,slr1592,enzyme-directed rRNA pseudouridine synthesis
963,slr1592,slr1592,pseudouridine synthase activity
968,slr1056,slr1056,double-strand break repair
969,slr1056,slr1056,DNA synthesis involved in DNA repair
970,sll0996,miaB,tRNA methylthiolation
971,sll0996,miaB,methylthiotransferase activity
972,sll0996,miaB,"4 iron, 4 sulfur cluster binding"
973,slr1392,feoB,ferrous iron transmembrane transporter activity
974,slr1392,feoB,plasma membrane
975,sll1742,nusG,cytosol
976,sll1740,rplS,structural constituent of ribosome
977,sll1740,rplS,cytosolic large ribosomal subunit
978,sll1743,rplK,cytosolic large ribosomal subunit
979,sll1743,rplK,translation
980,sll1743,rplK,structural constituent of ribosome
981,sll1743,rplK,large ribosomal subunit rRNA binding
983,sll1098,fusA,ribosome disassembly
984,sll1363,ilvC,cytosol
985,sll1363,ilvC,isoleucine biosynthetic process
986,sll1363,ilvC,ketol-acid reductoisomerase activity
987,sll1363,ilvC,valine biosynthetic process
990,sll1745,rplJ,structural constituent of ribosome
991,sll1745,rplJ,cytosolic large ribosomal subunit
992,sll1745,rplJ,translation
995,ssl2615,atpE,"proton-transporting ATP synthase complex, coupling factor F(o)"
996,ssl2615,atpE,proton motive force-driven ATP synthesis
997,sll1326,atpA,proton motive force-driven ATP synthesis
998,sll1326,atpA,"proton-transporting ATP synthase complex, catalytic core F(1)"
999,sll1326,atpA,ADP binding
1000,sll1326,atpA,ATP binding
1001,sll1326,atpA,"proton-transporting ATP synthase activity, rotational mechanism"
1002,sll1322,atpB,"proton-transporting ATP synthase activity, rotational mechanism"
1003,sll1322,atpB,proton-transporting ATP synthase complex
1004,sll1322,atpB,proton motive force-driven ATP synthesis
1007,slr1330,atpC,proton motive force-driven ATP synthesis
1008,slr1330,atpC,"proton-transporting ATP synthase activity, rotational mechanism"
1009,slr1329,atpD,"proton-transporting ATP synthase complex, catalytic core F(1)"
1010,slr1329,atpD,"proton-transporting ATP synthase activity, rotational mechanism"
1020,slr0500,hisB,imidazoleglycerol-phosphate dehydratase activity
1021,slr0500,hisB,histidine biosynthetic process
1028,ssl2084,acpP,cytosol
1029,ssl2084,acpP,acyl binding
1030,ssl2084,acpP,lipid A biosynthetic process
1031,ssl2084,acpP,acyl carrier activity
1032,sll0615,sll0615,metal ion transmembrane transporter activity
1033,sll0741,nifJ,response to oxidative stress
1034,slr0093,slr0093,chaperone cofactor-dependent protein refolding
1035,slr0093,slr0093,unfolded protein binding
1036,slr0093,slr0093,protein-folding chaperone binding
1037,slr0093,slr0093,cytosol
1042,sll0329,gnd,phosphogluconate dehydrogenase (decarboxylating) activity
1043,sll0329,gnd,cytosol
1044,sll0329,gnd,"pentose-phosphate shunt, oxidative branch"
1045,sll0329,gnd,NADP binding
1046,sll0329,gnd,D-gluconate catabolic process
1049,slr0526,panB,cytoplasm
1050,slr0526,panB,magnesium ion binding
1051,slr0526,panB,pantothenate biosynthetic process
1052,slr0526,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase activity
1061,slr0709,slr0709,cytosol
1062,slr0709,slr0709,deaminase activity
1063,slr0709,slr0709,organonitrogen compound catabolic process
1067,sll0685,sll0685,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor"
1068,sll1341,bfr,cytosol
1069,sll1341,bfr,heme binding
1070,sll1341,bfr,ferroxidase activity
1071,sll1341,bfr,intracellular sequestering of iron ion
1072,sll1341,bfr,iron ion binding
1073,sll1746,rplL,cytosolic large ribosomal subunit
1074,sll1746,rplL,structural constituent of ribosome
1075,sll1746,rplL,translation
1076,sll1746,rplL,mRNA binding
1089,slr0535,slr0535,serine-type endopeptidase activity
1090,slr0220,glyS,cytosol
1103,sll1244,rplI,cytosolic large ribosomal subunit
1114,slr1279,ndhC,NADH dehydrogenase (ubiquinone) activity
1115,slr1279,ndhC,NADH dehydrogenase complex
1117,sll1921,sll1921,ATP hydrolysis activity
1118,sll1921,sll1921,plasma membrane
1121,ssl3436,rpmC,cytosolic large ribosomal subunit
1123,sll1119,sll1119,homoserine kinase activity
1124,sll1119,sll1119,threonine biosynthetic process
1126,slr1943,slr1943,plasma membrane
1131,slr1463,fusB,cytosol
1132,slr1463,fusB,ribosome disassembly
1133,slr1170,slr1170,metal ion transmembrane transporter activity
1134,ssr0482,rpsP,structural constituent of ribosome
1135,ssr0482,rpsP,small ribosomal subunit
1136,sll0257,tsaE,tRNA threonylcarbamoyladenosine modification
1137,sll0359,sll0359,transcription cis-regulatory region binding
1138,sll0359,sll0359,protein-DNA complex
1139,sll0359,sll0359,DNA-binding transcription repressor activity
1140,slr1934,pdhA,branched-chain amino acid catabolic process
1143,sll1528,sll1528,glycosyltransferase activity
1144,ssr5011,ssr5011,cytoplasm
1145,ssr5020,ssr5020,ribosomal small subunit binding
1146,ssr5020,ssr5020,negative regulation of translational initiation
1147,ssr5020,ssr5020,RNA catabolic process
1148,ssr5020,ssr5020,"RNA endonuclease activity, producing 3'-phosphomonoesters"
1149,ssr5020,ssr5020,negative regulation of nucleic acid-templated transcription
1150,slr5023,slr5023,double-strand break repair
1151,slr5023,slr5023,DNA synthesis involved in DNA repair
1152,sll5036,sll5036,aerobic electron transport chain
1153,sll5036,sll5036,NAD(P)H dehydrogenase (quinone) activity
1154,sll5046,sll5046,N-acetylglucosamine 6-O-sulfotransferase activity
1155,sll5046,sll5046,N-acetylglucosamine metabolic process
1156,sll5046,sll5046,sulfur compound metabolic process
1157,sll5048,sll5048,lipopolysaccharide biosynthetic process
1158,sll5048,sll5048,glycosyltransferase activity
1159,sll5049,sll5049,plasma membrane
1160,sll5050,sll5050,glycosyltransferase activity
1161,sll5052,sll5052,plasma membrane
1162,sll5052,sll5052,protein tyrosine kinase activity
1163,slr5054,slr5054,glycosyltransferase activity
1164,slr5055,slr5055,hexosyltransferase activity
1165,sll5057,sll5057,"phosphotransferase activity, for other substituted phosphate groups"
1166,sll5059,sll5059,cytosol
1167,sll5059,sll5059,phosphorelay response regulator activity
1168,sll5059,sll5059,protein-DNA complex
1169,sll5059,sll5059,transcription cis-regulatory region binding
1170,sll5059,sll5059,regulation of DNA-templated transcription
1173,slr1859,slr1859,anti-sigma factor antagonist activity
1177,slr1498,hypD,iron ion binding
1178,slr1498,hypD,"4 iron, 4 sulfur cluster binding"
1179,slr1498,hypD,protein maturation
1180,slr1498,hypD,carbon monoxide binding
1181,sll1395,rfbD,cytosol
1182,sll1395,rfbD,dTDP-rhamnose biosynthetic process
1183,sll1395,rfbD,extracellular polysaccharide biosynthetic process
1184,sll1395,rfbD,dTDP-4-dehydrorhamnose reductase activity
1185,slr1119,slr1119,lysophospholipase activity
1189,sll0708,rsmA,"rRNA (adenine-N6,N6-)-dimethyltransferase activity"
1190,sll0708,rsmA,rRNA methylation
1191,sll0708,rsmA,cytosol
1192,sll0703,sll0703,cell redox homeostasis
1193,sll0703,sll0703,thioredoxin-disulfide reductase activity
1194,sll0703,sll0703,cytoplasm
1195,slr0742,rimP,translation
1196,slr0742,rimP,cytosol
1197,slr0742,rimP,ribosomal small subunit assembly
1200,sll1660,sll1660,"guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity"
1201,sll1659,cofH,"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase activity"
1207,slr1300,slr1300,oxidoreductase activity
1208,slr1300,slr1300,ubiquinone biosynthetic process
1209,sll1185,hemF,protoporphyrinogen IX biosynthetic process
1210,sll1185,hemF,coproporphyrinogen oxidase activity
1211,sll1185,hemF,cytoplasm
1212,ssr1604,rpmB,structural constituent of ribosome
1213,ssl1784,rpsO,cytosolic small ribosomal subunit
1214,slr1617,slr1617,"dTDP-glucose 4,6-dehydratase activity"
1220,slr1184,slr1184,thiosulfate sulfurtransferase activity
1223,slr0593,slr0593,cytosol
1224,slr0606,slr0606,lipopolysaccharide core region biosynthetic process
1225,slr0606,slr0606,ADP-heptose-lipopolysaccharide heptosyltransferase activity
1226,slr0606,slr0606,cytosol
1227,slr0609,slr0609,cytoplasm
1228,slr1322,slr1322,cytosol
1229,sll0817,miaA,tRNA modification
1230,sll0817,miaA,tRNA dimethylallyltransferase activity
1233,slr0813,slr0813,membrane
1234,slr0813,slr0813,glucosylceramide biosynthetic process
1235,slr0813,slr0813,ceramide glucosyltransferase activity
1236,slr0820,slr0820,"phosphotransferase activity, for other substituted phosphate groups"
1237,sll0807,rpe,D-ribulose-phosphate 3-epimerase activity
1238,sll0807,rpe,metal ion binding
1239,sll0807,rpe,carbohydrate metabolic process
1240,sll0807,rpe,cytosol
1241,sll0807,rpe,"pentose-phosphate shunt, non-oxidative branch"
1245,slr1958,slr1958,tetrapyrrole binding
1246,sll1894,ribBA,GTP cyclohydrolase II activity
1247,sll1894,ribBA,cytosol
1248,sll1894,ribBA,riboflavin biosynthetic process
1249,sll1893,hisF,imidazoleglycerol-phosphate synthase activity
1250,slr1974,der,ribosome binding
1251,slr1974,der,ribosomal large subunit assembly
1252,slr1975,slr1975,N-acetylglucosamine metabolic process
1253,slr1975,slr1975,N-acetylmannosamine metabolic process
1254,slr1975,slr1975,N-acylglucosamine 2-epimerase activity
1255,sll1878,sll1878,transmembrane transport
1256,sll1878,sll1878,transmembrane transporter activity
1257,sll1878,sll1878,plasma membrane
1258,slr1980,slr1980,sulfate assimilation
1259,slr1980,slr1980,high-affinity sulfate:proton symporter activity
1260,slr1980,slr1980,cysteine biosynthetic process
1266,sll1866,sll1866,cytoplasm
1267,sll1866,sll1866,tRNA binding
1268,sll1866,sll1866,nucleotidyltransferase activity
1269,sll1866,sll1866,regulation of translational fidelity
1270,slr1471,yidC,protein insertion into membrane
1271,slr1471,yidC,membrane insertase activity
1272,sll1380,sll1380,tetrapyrrole binding
1273,sll1369,sll1369,serine-type carboxypeptidase activity
1274,sll1369,sll1369,peptidoglycan metabolic process
1277,sll1440,pdxH,pyridoxamine-phosphate oxidase activity
1278,sll1440,pdxH,pyridoxal phosphate biosynthetic process
1279,sll1435,gatB,glutaminyl-tRNAGln biosynthesis via transamidation
1280,sll1435,gatB,glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity
1281,sll1103,sll1103,transmembrane transporter activity
1282,sll1103,sll1103,plasma membrane
1283,sll1102,sll1102,plasma membrane
1284,sll1102,sll1102,transmembrane transporter activity
1285,sll1102,sll1102,C4-dicarboxylate transport
1286,sll1097,rpsG,structural constituent of ribosome
1287,sll1097,rpsG,mRNA binding
1288,sll1097,rpsG,cytosolic small ribosomal subunit
1289,sll1097,rpsG,rRNA binding
1290,sll1097,rpsG,ribosome
1291,sll1097,rpsG,ribosomal small subunit assembly
1292,sll1097,rpsG,translation
1293,sll1566,ggpS,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity"
1294,slr1672,glpK,glycerol kinase activity
1295,slr1672,glpK,glycerol catabolic process
1296,slr1672,glpK,phosphorylation
1297,slr1672,glpK,cytosol
1298,slr1677,slr1677,lipid A biosynthetic process
1299,slr1677,slr1677,phospholipid binding
1300,sll1563,sll1563,cytosol
1301,sll1563,sll1563,cytoplasmic side of plasma membrane
1302,sll1563,sll1563,ATP hydrolysis activity
1303,sll1563,sll1563,negative regulation of cell division
1304,sll1563,sll1563,ATP binding
1307,sll1553,pheT,phenylalanyl-tRNA aminoacylation
1308,sll1553,pheT,phenylalanine-tRNA ligase complex
1309,sll1553,pheT,phenylalanine-tRNA ligase activity
1311,sll0914,sll0914,lysophospholipase activity
1313,slr0947,slr0947,protein-DNA complex
1314,slr0947,slr0947,transcription cis-regulatory region binding
1315,slr0947,slr0947,phosphorelay response regulator activity
1316,slr0947,slr0947,regulation of DNA-templated transcription
1317,slr0947,slr0947,cytosol
1329,slr0952,fbp,gluconeogenesis
1330,slr0952,fbp,fructose metabolic process
1331,slr0952,fbp,fructose 6-phosphate metabolic process
1332,slr0952,fbp,cytosol
1333,slr0952,fbp,"fructose 1,6-bisphosphate metabolic process"
1334,slr0952,fbp,"fructose 1,6-bisphosphate 1-phosphatase activity"
1335,slr0952,fbp,sucrose biosynthetic process
1336,slr0952,fbp,cytoplasm
1337,sll0905,sll0905,nucleoside triphosphate diphosphatase activity
1338,sll1541,sll1541,carotene catabolic process
1339,sll1541,sll1541,carotenoid dioxygenase activity
1342,slr1627,slr1627,amino acid transport
1343,slr1627,slr1627,amino acid transmembrane transporter activity
1344,slr1629,slr1629,enzyme-directed rRNA pseudouridine synthesis
1345,slr1629,slr1629,pseudouridine synthase activity
1347,sll1534,sll1534,glycosyltransferase activity
1348,sll1527,sll1527,lipopolysaccharide biosynthetic process
1349,sll1527,sll1527,glycosyltransferase activity
1350,slr1648,slr1648,carotene catabolic process
1351,slr1648,slr1648,carotenoid dioxygenase activity
1352,sll0362,alaS,amino acid binding
1353,sll0362,alaS,ATP binding
1354,sll0362,alaS,alanine-tRNA ligase activity
1355,sll0362,alaS,aminoacyl-tRNA editing activity
1356,sll0362,alaS,tRNA modification
1357,sll0362,alaS,cytosol
1358,sll0362,alaS,alanyl-tRNA aminoacylation
1365,slr0152,slr0152,peptidyl-serine phosphorylation
1366,slr0152,slr0152,protein serine/threonine kinase activity
1367,sll0148,sll0148,cytoplasm
1368,sll0148,sll0148,proteolysis
1369,sll0148,sll0148,cysteine-type endopeptidase activity
1370,sll0142,sll0142,xenobiotic transmembrane transporter activity
1371,sll0142,sll0142,plasma membrane
1372,sll0141,sll0141,efflux pump complex
1373,sll0141,sll0141,efflux transmembrane transporter activity
1374,slr1938,mtnA,L-methionine salvage from methylthioadenosine
1375,slr1938,mtnA,S-methyl-5-thioribose-1-phosphate isomerase activity
1377,slr1950,slr1950,copper ion homeostasis
1378,slr1950,slr1950,copper ion binding
1379,slr1950,slr1950,membrane
1380,slr1950,slr1950,P-type divalent copper transporter activity
1381,slr0989,slr0989,cytosol
1384,sll1330,sll1330,phosphorelay response regulator activity
1385,sll1330,sll1330,cytosol
1386,sll1330,sll1330,transcription cis-regulatory region binding
1387,sll1330,sll1330,regulation of DNA-templated transcription
1388,sll1330,sll1330,protein-DNA complex
1389,slr1454,cysW,plasma membrane
1391,slr1461,slr1461,serine-type endopeptidase activity
1392,slr1462,slr1462,cytosol
1393,slr1462,slr1462,tRNA methylation
1394,slr1462,slr1462,cytoplasm
1395,slr1462,slr1462,tRNA wobble uridine modification
1396,sll0631,nadB,'de novo' NAD biosynthetic process from aspartate
1397,sll0631,nadB,L-aspartate oxidase activity
1399,slr1563,slr1563,kinase activity
1402,sll1552,sll1552,peptide-alanine-alpha-N-acetyltransferase activity
1403,sll1552,sll1552,N-terminal peptidyl-alanine acetylation
1404,slr1656,murG,glycosyltransferase activity
1405,slr1665,dapF,cytosol
1406,slr1665,dapF,diaminopimelate epimerase activity
1407,slr1665,dapF,lysine biosynthetic process via diaminopimelate
1411,slr0452,ilvD,dihydroxy-acid dehydratase activity
1412,slr0452,ilvD,branched-chain amino acid biosynthetic process
1413,slr0454,slr0454,plasma membrane
1414,slr0454,slr0454,xenobiotic transmembrane transporter activity
1415,slr0236,slr0236,glutathione metabolic process
1416,slr0236,slr0236,L-phenylalanine catabolic process
1417,slr0236,slr0236,glutathione transferase activity
1418,slr0236,slr0236,maleylacetoacetate isomerase activity
1419,sll1699,sll1699,outer membrane-bounded periplasmic space
1420,sll1699,sll1699,peptide transmembrane transporter activity
1421,sll1699,sll1699,peptide transport
1422,slr1805,slr1805,phosphorelay sensor kinase activity
1427,slr2141,slr2141,cytosol
1428,slr2141,slr2141,methionine biosynthetic process
1429,slr2141,slr2141,tetrahydrofolate interconversion
1430,slr2141,slr2141,methylenetetrahydrofolate reductase (NAD(P)H) activity
1431,slr2141,slr2141,FAD binding
1432,slr2136,ispG,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity
1433,slr2136,ispG,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway"
1434,sll2014,sfsA,DNA binding
1435,slr1887,hemC,heme biosynthetic process
1436,slr1887,hemC,hydroxymethylbilane synthase activity
1437,slr1887,hemC,cytoplasm
1438,slr1886,rsfS,negative regulation of ribosome biogenesis
1439,slr1886,rsfS,ribosomal large subunit binding
1440,slr1886,rsfS,negative regulation of translation
1441,slr1884,trpS,tryptophan-tRNA ligase activity
1442,slr1884,trpS,tryptophanyl-tRNA aminoacylation
1445,sll1758,glmM,UDP-N-acetylglucosamine biosynthetic process
1446,sll1758,glmM,phosphomannomutase activity
1447,sll1758,glmM,phosphoglucosamine mutase activity
1448,sll1758,glmM,cytosol
1449,sll1758,glmM,peptidoglycan biosynthetic process
1451,sll1767,rpsF,small ribosomal subunit rRNA binding
1452,sll1767,rpsF,structural constituent of ribosome
1453,slr1876,slr1876,protein processing
1454,slr1876,slr1876,endopeptidase activity
1459,slr1871,slr1871,transcription cis-regulatory region binding
1460,slr1871,slr1871,regulation of DNA-templated transcription
1461,sll1775,sll1775,beta-glucosidase activity
1462,slr1867,trpD,tryptophan biosynthetic process
1463,slr1867,trpD,cytosol
1464,slr1856,slr1856,anti-sigma factor antagonist activity
1465,sll1783,sll1783,catalytic activity
1466,sll1305,sll1305,hydrolase activity
1467,sll0861,murQ,peptidoglycan turnover
1468,sll0861,murQ,carbon-oxygen lyase activity
1469,sll0861,murQ,ether hydrolase activity
1470,sll0861,murQ,amino sugar catabolic process
1471,sll0865,uvrC,DNA damage response
1472,sll0865,uvrC,excinuclease repair complex
1473,slr0887,slr0887,carboxylic acid metabolic process
1474,slr0887,slr0887,cytosol
1475,slr0886,fabG,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
1476,slr0886,fabG,fatty acid elongation
1477,sll0867,sll0867,oxidoreductase activity
1478,slr0882,slr0882,lipopolysaccharide transport
1479,slr0882,slr0882,ATP-binding cassette (ABC) transporter complex
1480,slr0878,slr0878,metalloendopeptidase activity
1481,slr0876,slr0876,FAD binding
1482,slr0876,slr0876,sulfide:quinone oxidoreductase activity
1483,slr0876,slr0876,"sulfide oxidation, using sulfide:quinone oxidoreductase"
1484,sll0875,sll0875,membrane
1485,slr0875,mscL,mechanosensitive monoatomic ion channel activity
1486,slr0875,mscL,monoatomic ion transport
1487,slr0875,mscL,intracellular water homeostasis
1492,slr1364,bioB,transferase activity
1497,sll1276,sll1276,transmembrane transport
1498,sll1276,sll1276,ATPase-coupled lipid transmembrane transporter activity
1502,sll1282,ribH,riboflavin biosynthetic process
1503,sll1282,ribH,intracellular anatomical structure
1504,sll1282,ribH,cytosol
1505,sll1282,ribH,"6,7-dimethyl-8-ribityllumazine synthase activity"
1506,sll1348,queG,epoxyqueuosine reductase activity
1507,sll1348,queG,queuosine biosynthetic process
1512,slr1449,slr1449,plasma membrane
1513,slr1449,slr1449,heme binding
1515,slr1442,slr1442,plasma membrane
1520,sll1362,ileS,isoleucine-tRNA ligase activity
1521,sll1362,ileS,isoleucyl-tRNA aminoacylation
1523,slr1239,pntA,NADPH regeneration
1524,slr1239,pntA,NAD binding
1525,slr1239,pntA,NADP binding
1526,slr1239,pntA,NAD(P)+ transhydrogenase activity
1527,slr1239,pntA,plasma membrane
1528,sll1127,menB,menaquinone biosynthetic process
1529,sll1127,menB,cytosol
1530,sll1127,menB,"1,4-dihydroxy-2-naphthoyl-CoA synthase activity"
1531,slr1238,gshB,cytoplasm
1532,slr1238,gshB,glutathione synthase activity
1536,ssl2250,ssl2250,"2 iron, 2 sulfur cluster binding"
1542,slr1228,prfC,cytosol
1543,slr1228,prfC,"translation release factor activity, codon nonspecific"
1544,slr1228,prfC,translational termination
1550,sll1633,ftsZ,cell division site
1551,sll1633,ftsZ,GTP binding
1552,sll1633,ftsZ,cytoplasm
1553,sll1633,ftsZ,GTPase activity
1554,sll1633,ftsZ,cell division
1555,slr1748,slr1748,phosphatase activity
1556,slr1748,slr1748,cytoplasm
1557,sll1634,sll1634,cytosol
1558,sll1634,sll1634,tryptophan biosynthetic process
1563,slr1550,lysS,tRNA binding
1564,slr1550,lysS,lysyl-tRNA aminoacylation
1565,slr1550,lysS,lysine-tRNA ligase activity
1566,slr1550,lysS,cytosol
1567,sll1463,ftsH4,ATP-dependent peptidase activity
1568,sll1463,ftsH4,proteolysis
1569,sll1463,ftsH4,thylakoid
1570,sll1466,sll1466,lipopolysaccharide biosynthetic process
1571,sll1466,sll1466,glycosyltransferase activity
1575,slr1540,slr1540,cytosol
1576,slr1540,slr1540,rRNA processing
1577,slr1540,slr1540,RNA binding
1578,slr1537,slr1537,glycosyltransferase activity
1581,sll1715,sll1715,rRNA catabolic process
1582,sll1715,sll1715,RNA endonuclease activity
1583,slr1842,cysK,cytoplasm
1584,slr1842,cysK,L-cysteine desulfhydrase activity
1585,slr1842,cysK,cysteine biosynthetic process from serine
1586,slr1842,cysK,cysteine synthase activity
1589,slr1837,slr1837,transcription cis-regulatory region binding
1590,slr1837,slr1837,regulation of DNA-templated transcription
1591,slr1837,slr1837,phosphorelay response regulator activity
1592,slr1837,slr1837,protein-DNA complex
1593,slr1837,slr1837,cytosol
1594,sll1722,sll1722,glycosyltransferase activity
1595,sll1723,sll1723,glycosyltransferase activity
1596,sll1725,sll1725,transmembrane transport
1597,sll1725,sll1725,ATPase-coupled lipid transmembrane transporter activity
1598,slr2131,slr2131,xenobiotic transmembrane transporter activity
1599,slr2131,slr2131,plasma membrane
1600,slr2130,aroB,3-dehydroquinate synthase activity
1601,slr2130,aroB,aromatic amino acid family biosynthetic process
1602,sll1995,sll1995,glycosyltransferase activity
1603,slr2123,slr2123,hydroxypyruvate reductase activity
1604,slr2123,slr2123,glyoxylate reductase (NADP+) activity
1605,slr2123,slr2123,cytosol
1606,slr2122,slr2122,N-acylneuraminate cytidylyltransferase activity
1607,slr2121,slr2121,tryptophan catabolic process to kynurenine
1608,slr2121,slr2121,arylformamidase activity
1609,slr2118,slr2118,glycosyltransferase activity
1610,slr2118,slr2118,lipopolysaccharide biosynthetic process
1618,slr1521,hflX,cytoplasm
1619,slr1521,hflX,ribosome binding
1620,slr1520,slr1520,cytosol
1621,slr1520,slr1520,alditol:NADP+ 1-oxidoreductase activity
1622,slr1518,menA,vitamin K biosynthetic process
1623,slr1518,menA,"ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate"
1624,slr1518,menA,menaquinone biosynthetic process
1625,slr1518,menA,prenyltransferase activity
1626,slr1517,leuB,cytosol
1627,slr1517,leuB,leucine biosynthetic process
1628,slr1517,leuB,3-isopropylmalate dehydrogenase activity
1632,slr1508,slr1508,glycosyltransferase activity
1633,slr1506,slr1506,1-alkyl-2-acetylglycerophosphocholine esterase activity
1634,sll1425,proS,prolyl-tRNA aminoacylation
1635,sll1425,proS,cytosol
1636,sll1425,proS,proline-tRNA ligase activity
1637,slr1503,slr1503,cytoplasm
1638,slr1503,slr1503,aldo-keto reductase (NADP) activity
1639,sll1429,sll1429,bacterial nucleoid
1640,sll1429,sll1429,restriction endodeoxyribonuclease activity
1641,sll1973,plsY,plasma membrane
1642,slr2102,ftsY,plasma membrane
1643,slr2102,ftsY,protein targeting
1644,slr2102,ftsY,GTPase activity
1645,slr2102,ftsY,signal recognition particle binding
1646,slr2099,slr2099,phosphorelay sensor kinase activity
1655,slr2088,ilvB,thiamine pyrophosphate binding
1656,slr2088,ilvB,oxalate catabolic process
1657,slr2088,ilvB,oxalyl-CoA decarboxylase activity
1658,slr2088,ilvB,fatty acid alpha-oxidation
1659,sll1988,hslO,protein refolding
1660,sll1988,hslO,cytoplasm
1661,sll1988,hslO,protein folding chaperone
1662,slr1138,ctaE,cytochrome-c oxidase activity
1663,slr1138,ctaE,aerobic respiration
1664,slr1137,ctaD,respiratory electron transport chain
1665,slr1137,ctaD,aerobic respiration
1666,slr1137,ctaD,electron transport coupled proton transport
1667,slr1137,ctaD,cytochrome-c oxidase activity
1671,sll0240,sll0240,sulfate transport
1672,sll0244,galE,cytosol
1673,sll0244,galE,UDP-glucose 4-epimerase activity
1674,sll0244,galE,galactose catabolic process via UDP-galactose
1675,sll0245,ychF,cytoplasm
1676,sll0245,ychF,ATP hydrolysis activity
1679,sll0250,coaBC,coenzyme A biosynthetic process
1680,sll0250,coaBC,FMN binding
1681,sll0250,coaBC,phosphopantothenoylcysteine decarboxylase activity
1682,sll0250,coaBC,phosphopantothenoylcysteine decarboxylase complex
1683,slr0264,slr0264,cellular lipid metabolic process
1684,slr0264,slr0264,acylglycerol lipase activity
1685,slr0264,slr0264,short-chain carboxylesterase activity
1686,sll0254,sll0254,oxidoreductase activity
1687,sll0254,sll0254,plasma membrane
1688,slr1730,kdpC,potassium ion transmembrane transport
1689,slr1730,kdpC,P-type potassium transmembrane transporter activity
1690,slr1728,kdpA,potassium ion transmembrane transport
1691,slr1728,kdpA,plasma membrane
1692,slr1728,kdpA,P-type potassium transmembrane transporter activity
1693,sll1590,sll1590,phosphorelay sensor kinase activity
1702,slr1720,aspS,aspartyl-tRNA aminoacylation
1703,slr1720,aspS,aspartate-tRNA ligase activity
1705,sll1606,sll1606,plasma membrane
1706,sll1606,sll1606,peptidoglycan metabolic process
1707,sll1606,sll1606,Gram-negative-bacterium-type cell wall biogenesis
1708,sll1611,sll1611,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water"
1709,sll1611,sll1611,lipid metabolic process
1714,sll1615,mnmE,cytoplasm
1715,sll1615,mnmE,tRNA methylation
1716,sll1615,mnmE,tRNA wobble uridine modification
1717,sll1615,mnmE,cytosol
1718,sll1902,sll1902,cytoplasm
1721,sll1909,prmA,protein methyltransferase activity
1722,slr2057,aqpZ,plasma membrane
1723,slr2057,aqpZ,water channel activity
1727,slr1259,slr1259,sulfur dioxygenase activity
1728,slr1259,slr1259,glutathione metabolic process
1729,slr1259,slr1259,hydrogen sulfide metabolic process
1730,slr1258,slr1258,DNA damage response
1731,sll1147,sll1147,glutathione transferase activity
1732,sll1147,sll1147,glutathione peroxidase activity
1733,sll1150,sll1150,plasma membrane
1734,ssl2296,ssl2296,4-alpha-hydroxytetrahydrobiopterin dehydratase activity
1735,slr1251,slr1251,protein peptidyl-prolyl isomerization
1736,slr1251,slr1251,cytoplasm
1737,slr1251,slr1251,peptidyl-prolyl cis-trans isomerase activity
1738,slr1251,slr1251,protein folding
1739,slr1251,slr1251,cyclosporin A binding
1740,slr1245,slr1245,DNA-templated transcription
1741,slr1245,slr1245,sequence-specific DNA binding
1742,slr1245,slr1245,DNA-binding transcription factor activity
1743,sll1159,sll1159,cellular response to oxidative stress
1744,sll1159,sll1159,cell redox homeostasis
1745,sll1159,sll1159,thioredoxin peroxidase activity
