old_locus_tag,gene_name,accession,start,end,strand,gene_product,uniprot,operon
sll1298,sll1298,NC_000911.1,678283,679023,-,dienelactone hydrolase family protein,,Op472
ssr2315,ssr2315,NC_000911.1,679295,679510,+,hypothetical protein,,Op473
slr1383,slr1383,NC_000911.1,679690,680178,+,type II toxin-antitoxin system VapC family toxin,,Op474
slr1384,slr1384,NC_000911.1,680397,681572,+,lipid-A-disaccharide synthase-related protein,,Op475
slr1385,slr1385,NC_000911.1,681707,682675,+,GAF domain-containing protein,,Op476
ssr2318,ssr2318,NC_000911.1,682854,683117,+,hypothetical protein,,Op477
sll1297,sll1297,NC_000911.1,683140,684153,-,aromatic ring-hydroxylating dioxygenase subunit alpha,,Op478
ssl2559,ssl2559,NC_000911.1,684143,684439,-,2Fe-2S iron-sulfur cluster-binding protein,,Op478
sll1296,sll1296,NC_000911.1,684560,687334,-,hybrid sensor histidine kinase/response regulator,,Op479
sll1294,sll1294,NC_000911.1,687391,690252,-,HAMP domain-containing methyl-accepting chemotaxis protein,,Op480
sll1293,sll1293,NC_000911.1,690399,690866,-,chemotaxis protein CheW,,Op481
sll1292,sll1292,NC_000911.1,690899,691264,-,response regulator,A0A6P1VHW6_9SYNC,Op481
sll1291,sll1291,NC_000911.1,691371,692492,-,response regulator,,Op482
sll1290,sll1290,NC_000911.1,693211,695211,-,ribonuclease R,,Op483
sll1289,sll1289,NC_000911.1,695290,695874,-,thioredoxin family protein,,Op484
slr1390,ftsH1,NC_000911.1,695975,697972,+,ATP-dependent zinc metalloprotease FtsH1,,Op485
slr1391,slr1391,NC_000911.1,697988,698458,+,hypothetical protein,,Op485
ssr2333,ssr2333,NC_000911.1,698723,698962,+,ferrous iron transport protein A,,Op486
slr1392,feoB,NC_000911.1,698970,700814,+,ferrous iron transport protein B,,Op486
ssl2542,ssl2542,NC_000911.1,701138,701350,-,chlorophyll a/b-binding protein,A0A6P1VMU7_9SYNC,Op487
slr1393,slr1393,NC_000911.1,701415,704267,+,GAF domain-containing protein,,Op488
slr1394,slr1394,NC_000911.1,704390,704845,+,divergent PAP2 family protein,A0A6P1VE23_9SYNC,Op489
,,NC_000911.1,704870,705064,+,hypothetical protein,A0A6P1VHX6_9SYNC,Op6
sll1286,sll1286,NC_000911.1,705307,706017,-,TetR/AcrR family transcriptional regulator,,Op490
slr1395,slr1395,NC_000911.1,706055,707131,+,hypothetical protein,,Op491
slr1396,slr1396,NC_000911.1,707437,708054,+,hypothetical protein,,Op492
slr1397,slr1397,NC_000911.1,708189,708812,+,hypothetical protein,,Op493
slr1398,slr1398,NC_000911.1,709090,709797,+,hypothetical protein,,Op494
sll1285,cofG,NC_000911.1,710036,710977,-,7%2C8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit CofG,,Op495
sll1284,sll1284,NC_000911.1,710981,711595,-,alpha/beta hydrolase,,Op495
sll1283,sll1283,NC_000911.1,711608,712768,-,SpoIID/LytB domain-containing protein,,Op495
slr1699,slr1699,NC_000911.1,712931,713779,+,DUF1350 family protein,,Op496
sll1584,sll1584,NC_000911.1,713774,714178,-,ferredoxin,,Op497
sll1583,sll1583,NC_000911.1,714465,716153,-,DNA ligase,,Op498
sll1582,sll1582,NC_000911.1,716309,719665,-,DEAD/DEAH box helicase,,Op499
sll1581,sll1581,NC_000911.1,719733,721238,-,SLBB domain-containing protein,,Op500
ssr2843,ssr2843,NC_000911.1,721429,721692,+,TIGR02450 family Trp-rich protein,,Op501
slr1702,slr1702,NC_000911.1,721724,722479,+,DUF1995 family protein,,Op501
slr1703,serS,NC_000911.1,722570,723862,+,serine--tRNA ligase,,Op502
ssl3093,ssl3093,NC_000911.1,724094,724345,-,phycobilisome linker polypeptide,A0A6P1VC75_9SYNC,Op503
sll1580,sll1580,NC_000911.1,724492,725367,-,phycobilisome linker polypeptide,A0A6P1VFB1_9SYNC,Op504
sll1579,sll1579,NC_000911.1,725413,726234,-,phycobilisome linker polypeptide,,Op505
sll1578,cpcA,NC_000911.1,726349,726837,-,phycocyanin subunit alpha,A0A6P1VE95_9SYNC,Op506
sll1577,sll1577,NC_000911.1,726948,727466,-,phycocyanin subunit beta,A0A6P1VE44_9SYNC,Op506
ssr2848,ssr2848,NC_000911.1,728271,728489,+,hypothetical protein,A0A6P1VHZ1_9SYNC,Op507
slr1704,slr1704,NC_000911.1,728660,729484,+,hypothetical protein,,Op508
,,NC_000911.1,729671,729871,+,hypothetical protein,,Op6
,,NC_000911.1,730108,731674,-,serine/threonine-protein kinase,,Op71
sll1573,sll1573,NC_000911.1,731748,732191,-,hypothetical protein,A0A6P1VFE7_9SYNC,Op509
slr1705,slr1705,NC_000911.1,732418,733284,+,aspartoacylase,,Op510
slr1706,slr1706,NC_000911.1,733401,734432,+,NAD-dependent epimerase/dehydratase family protein,,Op511
ssr2857,ssr2857,NC_000911.1,734665,734859,+,heavy-metal-associated domain-containing protein,,Op512
slr1708,slr1708,NC_000911.1,734985,736220,+,M23 family metallopeptidase,,Op513
sll1572,sll1572,NC_000911.1,736435,737811,-,trans-splicing intein-formed DNA polymerase III subunit alpha C-terminal partner DnaE-C,,Op514
sll1571,sll1571,NC_000911.1,737867,738808,-,hypothetical protein,,Op515
sll1570,sll1570,NC_000911.1,738909,739613,-,hypothetical protein,,Op516
slr1710,slr1710,NC_000911.1,739682,741931,+,PBP1A family penicillin-binding protein,,Op517
sll1568,sll1568,NC_000911.1,742080,742688,-,PAP/fibrillin family protein,,Op518
sll1927,sll1927,NC_000911.1,742780,744732,-,ABC transporter ATP-binding protein,,Op519
,,NC_000911.1,744810,745064,-,hypothetical protein,A0A068MYP8_SYNY4,Op6
,,NC_000911.1,744810,745064,-,hypothetical protein,A0A6P1VJT3_9SYNC,Op6
slr2005,slr2005,NC_000911.1,745339,746124,+,MBL fold metallo-hydrolase,,Op520
sll1925,sll1925,NC_000911.1,746303,747019,-,DUF2301 domain-containing membrane protein,,Op521
slr2006,slr2006,NC_000911.1,747234,747578,+,NADH-quinone oxidoreductase subunit K,A0A6P1VFD3_9SYNC,Op522
slr2007,slr2007,NC_000911.1,747575,749038,+,cation:proton antiporter,,Op522
slr2008,slr2008,NC_000911.1,749150,749500,+,cation:proton antiporter subunit C,,Op523
slr2009,slr2009,NC_000911.1,749550,751037,+,cation:proton antiporter,,Op524
slr2010,slr2010,NC_000911.1,751034,751426,+,Na+/H+ antiporter subunit E,A0A6P1VI10_9SYNC,Op524
ssr3409,ssr3409,NC_000911.1,751381,751674,+,hypothetical protein,A0A6P1VGR6_9SYNC,Op524
ssr3410,ssr3410,NC_000911.1,751671,751967,+,monovalent cation/H(+) antiporter subunit G,,Op524
slr2011,slr2011,NC_000911.1,751960,752535,+,DUF4040 domain-containing protein,,Op524
slr2012,slr2012,NC_000911.1,752532,753179,+,Na(+)/H(+) antiporter subunit B,,Op524
slr2013,slr2013,NC_000911.1,753427,754734,+,DUF58 domain-containing protein,,Op525
sll1924,sll1924,NC_000911.1,754877,755497,-,Crp/Fnr family transcriptional regulator,,Op526
slr2015,slr2015,NC_000911.1,756053,757195,+,prepilin-type N-terminal cleavage/methylation domain-containing protein,,Op527
slr2016,slr2016,NC_000911.1,757244,757720,+,type II secretion system protein,,Op528
slr2017,slr2017,NC_000911.1,757671,758753,+,prepilin-type N-terminal cleavage/methylation domain-containing protein,,Op528
slr2018,slr2018,NC_000911.1,758910,761228,+,hypothetical protein,,Op529
slr2019,slr2019,NC_000911.1,761482,763263,+,ABC transporter ATP-binding protein,,Op530
sll1921,sll1921,NC_000911.1,763317,764072,-,hypothetical protein,,Op531
sll1920,sll1920,NC_000911.1,764301,766538,-,heavy metal translocating P-type ATPase,,Op532
slr2023,fabD,NC_000911.1,766727,767608,+,ACP S-malonyltransferase,,Op533
slr2024,slr2024,NC_000911.1,767890,768432,+,response regulator,A0A6P1VCB6_9SYNC,Op534
slr2025,slr2025,NC_000911.1,768499,768960,+,YbjN domain-containing protein,,Op535
sll1917,hemW,NC_000911.1,769053,770291,-,radical SAM family heme chaperone HemW,,Op536
sll1916,sll1916,NC_000911.1,770288,770890,-,nicotinate-nucleotide adenylyltransferase,,Op536
sll1915,sll1915,NC_000911.1,770930,771481,-,hypothetical protein,A0A6P1VE86_9SYNC,Op536
slr2026,folP,NC_000911.1,771651,772520,+,dihydropteroate synthase,,Op537
slr2027,slr2027,NC_000911.1,772517,773905,+,glycosyltransferase family 39 protein,,Op537
sll1913,sll1913,NC_000911.1,773827,775626,-,FAD-dependent oxidoreductase,,Op538
sll1912,sll1912,NC_000911.1,775687,776061,-,putative toxin-antitoxin system toxin component%2C PIN family,,Op539
ssl3615,ssl3615,NC_000911.1,776058,776342,-,hypothetical protein,,Op539
sll1911,sll1911,NC_000911.1,776551,776937,-,hypothetical protein,,Op540
sll1910,sll1910,NC_000911.1,777066,779411,-,ribonuclease R,,Op541
slr2030,slr2030,NC_000911.1,780093,781448,+,TIGR03279 family radical SAM protein,,Op542
slr2031,slr2031,NC_000911.1,781584,783011,+,PP2C family protein-serine/threonine phosphatase,,Op543
,,NC_000911.1,783038,783307,+,hypothetical protein,,Op6
slr1133,argH,NC_000911.1,783379,784764,+,argininosuccinate lyase,,Op544
slr1134,slr1134,NC_000911.1,784769,785215,+,NUDIX hydrolase,,Op544
slr1135,slr1135,NC_000911.1,785665,787812,+,KAP family NTPase,,Op545
sll1084,sll1084,NC_000911.1,787809,790397,-,TIGR03960 family B12-binding radical SAM protein,,Op546
slr1136,slr1136,NC_000911.1,790719,791717,+,cytochrome c oxidase subunit II,,Op547
slr1137,ctaD,NC_000911.1,791806,793461,+,cytochrome c oxidase subunit I,,Op547
slr1138,ctaE,NC_000911.1,793509,794210,+,cytochrome c oxidase subunit CtaE,,Op548
slr1139,slr1139,NC_000911.1,794362,794691,+,thioredoxin,A0A6P1VFJ5_9SYNC,Op549
slr1140,slr1140,NC_000911.1,794764,795900,+,DegT/DnrJ/EryC1/StrS family aminotransferase,,Op550
sll1082,sll1082,NC_000911.1,795932,796732,-,ABC transporter ATP-binding protein,,Op551
sll1081,sll1081,NC_000911.1,796789,797631,-,ABC transporter permease,,Op552
sll1080,sll1080,NC_000911.1,797734,798762,-,aliphatic sulfonate ABC transporter substrate-binding protein,,Op553
sll1079,hypB,NC_000911.1,798846,799535,-,hydrogenase nickel incorporation protein HypB,,Op554
sll1078,hypA,NC_000911.1,799596,799958,-,hydrogenase maturation nickel metallochaperone HypA,,Op554
sll1077,speB,NC_000911.1,800034,801206,-,agmatinase,,Op555
slr1142,slr1142,NC_000911.1,801643,802152,+,GAF domain-containing protein,,Op556
slr1143,slr1143,NC_000911.1,802207,803238,+,diguanylate cyclase,,Op557
sll1076,sll1076,NC_000911.1,803466,806354,-,cation-transporting P-type ATPase,,Op558
,,NC_000911.1,806452,806688,-,hypothetical protein,,Op6
sll1074,leuS,NC_000911.1,806716,809325,-,leucine--tRNA ligase,,Op559
slr1145,gltS,NC_000911.1,809450,810658,+,sodium/glutamate symporter,,Op560
,,NC_000911.1,810922,811245,-,DUF3155 domain-containing protein,A0A6P1VDB6_9SYNC,Op6
slr1147,slr1147,NC_000911.1,811489,812793,+,GAF domain-containing sensor histidine kinase,,Op561
slr1148,slr1148,NC_000911.1,813028,813594,+,DUF4269 domain-containing protein,,Op562
slr1149,slr1149,NC_000911.1,813799,815604,+,ABC transporter ATP-binding protein,,Op563
slr1150,slr1150,NC_000911.1,815703,816215,+,hypothetical protein,,Op564
sll1072,sll1072,NC_000911.1,816298,816942,-,Uma2 family endonuclease,,Op565
sll1071,sll1071,NC_000911.1,816983,817810,-,TPM domain-containing protein,,Op565
sll1070,tkt,NC_000911.1,817967,819979,-,transketolase,,Op566
sll1069,fabF,NC_000911.1,820102,821352,-,beta-ketoacyl-ACP synthase II,,Op567
ssl2084,acpP,NC_000911.1,821550,821783,-,acyl carrier protein,A0A068MY68_SYNY4,Op568
ssl2084,acpP,NC_000911.1,821550,821783,-,acyl carrier protein,A0A6P1VCF2_9SYNC,Op568
sll1068,sll1068,NC_000911.1,821993,822424,-,hypothetical protein,,Op569
ssl3451,ssl3451,NC_000911.1,822461,822706,-,DUF3148 domain-containing protein,A0A6P1VDC4_9SYNC,Op569
slr1890,bfr,NC_000911.1,822894,823367,+,bacterioferritin,,Op570
sll1825,sll1825,NC_000911.1,823383,823973,-,short chain dehydrogenase,A0A6P1VNX0_9SYNC,Op571
,rplY,NC_000911.1,824228,824560,-,50S ribosomal protein L25,,Op6
sll1823,sll1823,NC_000911.1,824584,825915,-,adenylosuccinate synthase,,Op572
ssl3446,ssl3446,NC_000911.1,826070,826249,-,DUF2949 domain-containing protein,,Op573
ssl3445,rpmE,NC_000911.1,826637,826882,-,50S ribosomal protein L31,,Op574
sll1822,rpsI,NC_000911.1,826935,827348,-,30S ribosomal protein S9,A0A6P1VI64_9SYNC,Op575
sll1821,rplM,NC_000911.1,827348,827803,-,50S ribosomal protein L13,,Op575
sll1820,truA,NC_000911.1,827868,828695,-,tRNA pseudouridine(38-40) synthase TruA,,Op576
sll1819,rplQ,NC_000911.1,828713,829063,-,50S ribosomal protein L17,A0A6P1VHE0_9SYNC,Op576
sll1818,sll1818,NC_000911.1,829141,830085,-,DNA-directed RNA polymerase subunit alpha,,Op577
sll1817,rpsK,NC_000911.1,830194,830586,-,30S ribosomal protein S11,A0A6P1VCG0_9SYNC,Op578
sll1816,rpsM,NC_000911.1,830635,831018,-,30S ribosomal protein S13,A0A6P1VFK7_9SYNC,Op578
,rpmJ,NC_000911.1,831101,831217,-,50S ribosomal protein L36,A0A6P1VDD5_9SYNC,Op6
ssl3441,infA,NC_000911.1,831355,831582,-,translation initiation factor IF-1,A0A068N4L8_SYNY4,Op579
ssl3441,infA,NC_000911.1,831355,831582,-,translation initiation factor IF-1,A0A6P1VEH7_9SYNC,Op579
sll1815,sll1815,NC_000911.1,831702,832259,-,adenylate kinase,,Op580
sll1814,secY,NC_000911.1,832391,833719,-,preprotein translocase subunit SecY,,Op581
sll1813,rplO,NC_000911.1,833821,834264,-,50S ribosomal protein L15,A0A6P1VGY5_9SYNC,Op582
sll1812,rpsE,NC_000911.1,834333,834854,-,30S ribosomal protein S5,A0A068MY90_SYNY4,Op583
sll1812,rpsE,NC_000911.1,834333,834854,-,30S ribosomal protein S5,A0A6P1VEQ6_9SYNC,Op583
sll1811,rplR,NC_000911.1,834894,835256,-,50S ribosomal protein L18,A0A068N4M2_SYNY4,Op583
sll1810,rplF,NC_000911.1,835260,835799,-,50S ribosomal protein L6,A0A6P1VFN6_9SYNC,Op583
sll1809,rpsH,NC_000911.1,835859,836260,-,30S ribosomal protein S8,A0A6P1VCH5_9SYNC,Op584
sll1808,rplE,NC_000911.1,836352,836894,-,50S ribosomal protein L5,A0A6P1VFM1_9SYNC,Op585
sll1807,rplX,NC_000911.1,837001,837348,-,50S ribosomal protein L24,A0A6P1VDD7_9SYNC,Op586
sll1806,rplN,NC_000911.1,837349,837717,-,50S ribosomal protein L14,A0A068N4M9_SYNY4,Op586
sll1806,rplN,NC_000911.1,837349,837717,-,50S ribosomal protein L14,A0A6P1VEI9_9SYNC,Op586
ssl3437,rpsQ,NC_000911.1,837741,837986,-,30S ribosomal protein S17,A0A068N0R4_SYNY4,Op586
ssl3437,rpsQ,NC_000911.1,837741,837986,-,30S ribosomal protein S17,A0A6P1VEE2_9SYNC,Op586
ssl3436,rpmC,NC_000911.1,837994,838215,-,50S ribosomal protein L29,A0A6P1VI80_9SYNC,Op586
sll1805,rplP,NC_000911.1,838218,838637,-,50S ribosomal protein L16,A0A6P1VGZ5_9SYNC,Op586
sll1804,rpsC,NC_000911.1,838678,839400,-,30S ribosomal protein S3,A0A6P1VER5_9SYNC,Op586
sll1803,rplV,NC_000911.1,839430,839795,-,50S ribosomal protein L22,A0A6P1VHG2_9SYNC,Op586
ssl3432,rpsS,NC_000911.1,839811,840089,-,30S ribosomal protein S19,A0A068N0R9_SYNY4,Op586
ssl3432,rpsS,NC_000911.1,839811,840089,-,30S ribosomal protein S19,A0A6P1VFP6_9SYNC,Op586
sll1802,rplB,NC_000911.1,840122,840952,-,50S ribosomal protein L2,A0A6P1VCI5_9SYNC,Op586
sll1801,sll1801,NC_000911.1,841002,841307,-,50S ribosomal protein L23,,Op587
sll1800,rplD,NC_000911.1,841300,841932,-,50S ribosomal protein L4,,Op587
sll1799,rplC,NC_000911.1,841972,842613,-,50S ribosomal protein L3,A0A6P1VEK1_9SYNC,Op587
slr1894,slr1894,NC_000911.1,843105,843575,+,DNA starvation/stationary phase protection protein,A0A6P1VEF2_9SYNC,Op588
sll1797,sll1797,NC_000911.1,843613,844221,-,chorismate lyase,,Op589
slr1895,slr1895,NC_000911.1,844228,845394,+,metallophosphoesterase,,Op590
slr1896,slr1896,NC_000911.1,845482,845874,+,DUF1823 family protein,,Op591
sll1796,sll1796,NC_000911.1,845966,846328,-,c-type cytochrome,A0A6P1VES6_9SYNC,Op592
slr1897,slr1897,NC_000911.1,846509,847810,+,sugar ABC transporter substrate-binding protein,,Op593
slr1898,argB,NC_000911.1,848074,848967,+,acetylglutamate kinase,,Op594
slr1899,slr1899,NC_000911.1,849095,849748,+,urease accessory protein UreF,,Op595
slr1900,slr1900,NC_000911.1,849904,850545,+,DUF3386 domain-containing protein,,Op596
slr1901,slr1901,NC_000911.1,850605,851585,+,ATP-binding cassette domain-containing protein,,Op597
,,NC_000911.1,851717,852047,+,IS1 family transposase,,Op6
,,NC_000911.1,852470,852939,-,IS5-like element IS5Sa2 family transposase,,Op6
sll1789,sll1789,NC_000911.1,853497,857450,-,DNA-directed RNA polymerase subunit beta'',,Op598
sll1787,rpoB,NC_000911.1,857558,860866,-,DNA-directed RNA polymerase subunit beta,,Op598
sll1786,sll1786,NC_000911.1,860952,861737,-,TatD family hydrolase,,Op599
ssl2233,rpsT,NC_000911.1,861873,862166,-,30S ribosomal protein S20,,Op600
sll1124,sll1124,NC_000911.1,862262,866377,-,PAS domain S-box protein,Q79BN1_9SYNC,Op601
sll1123,sll1123,NC_000911.1,866374,867093,-,hypothetical protein,,Op601
sll1121,sll1121,NC_000911.1,867257,869569,-,ATP-dependent helicase,,Op602
sll1120,smc,NC_000911.1,869668,873270,-,chromosome segregation protein SMC,,Op603
sll1119,sll1119,NC_000911.1,873465,874550,-,phosphotransferase enzyme family protein,,Op604
slr1194,slr1194,NC_000911.1,874693,875361,+,DUF533 domain-containing protein,,Op605
slr1195,slr1195,NC_000911.1,875515,875979,+,DUF3531 family protein,,Op606
slr1196,slr1196,NC_000911.1,876008,877297,+,hypothetical protein,,Op606
slr1197,dprA,NC_000911.1,877325,878521,+,DNA-processing protein DprA,,Op606
sll1118,sll1118,NC_000911.1,878564,878890,-,YbjQ family protein,A0A068N051_SYNY4,Op607
sll1118,sll1118,NC_000911.1,878564,878890,-,YbjQ family protein,A0A6P1VFS5_9SYNC,Op607
ssr2009,ssr2009,NC_000911.1,879024,879209,+,DUF2442 domain-containing protein,,Op608
slr1198,slr1198,NC_000911.1,879408,880043,+,peroxiredoxin,A0A068MTU6_SYNY4,Op609
slr1199,mutL,NC_000911.1,880078,881838,+,DNA mismatch repair endonuclease MutL,,Op610
slr1200,slr1200,NC_000911.1,882023,883189,+,branched-chain amino acid ABC transporter permease,,Op611
slr1201,urtC,NC_000911.1,883287,884519,+,urea ABC transporter permease subunit UrtC,,Op612
slr1202,slr1202,NC_000911.1,884635,885531,+,sugar ABC transporter permease,,Op613
slr1203,slr1203,NC_000911.1,885641,886078,+,DUF29 domain-containing protein,,Op614
slr1204,slr1204,NC_000911.1,886283,887542,+,HhoA/HhoB/HtrA family serine endopeptidase,,Op615
slr1205,slr1205,NC_000911.1,887731,888084,+,Rieske (2Fe-2S) protein,,Op616
slr1206,slr1206,NC_000911.1,888271,888993,+,DUF1997 domain-containing protein,,Op617
slr1207,slr1207,NC_000911.1,889067,890605,+,efflux RND transporter periplasmic adaptor subunit,,Op618
ssr2016,ssr2016,NC_000911.1,890827,891024,+,hypothetical protein,,Op619
slr1208,slr1208,NC_000911.1,891276,893249,+,bifunctional aldolase/short-chain dehydrogenase,,Op620
slr1209,slr1209,NC_000911.1,893285,893590,+,DUF433 domain-containing protein,,Op620
slr1210,slr1210,NC_000911.1,893583,893972,+,DUF5615 family PIN-like protein,,Op620
slr1211,cobN,NC_000911.1,893984,897262,+,cobaltochelatase subunit CobN,,Op620
slr1212,slr1212,NC_000911.1,897354,899888,+,PAS domain S-box protein,,Op621
slr1213,slr1213,NC_000911.1,899937,900662,+,response regulator transcription factor,,Op622
slr1214,slr1214,NC_000911.1,901197,902315,+,response regulator,,Op623
slr1215,slr1215,NC_000911.1,902387,903055,+,hypothetical protein,,Op624
sll1112,aroQ,NC_000911.1,903148,903606,-,type II 3-dehydroquinate dehydratase,,Op625
,,NC_000911.1,903627,903764,-,hypothetical protein,,Op6
slr1216,mgtE,NC_000911.1,904115,905506,+,magnesium transporter,,Op626
sll1971,sll1971,NC_000911.1,905575,906762,-,glycosyltransferase family 4 protein,,Op627
slr2070,slr2070,NC_000911.1,907050,907826,+,DUF1868 domain-containing protein,,Op628
slr2071,slr2071,NC_000911.1,907990,908313,+,hypothetical protein,A0A6P1VFT7_9SYNC,Op629
sll1969,sll1969,NC_000911.1,908353,908961,-,triacylglycerol lipase,,Op630
sll1968,sll1968,NC_000911.1,908968,909483,-,anti-sigma regulatory factor,,Op630
sll1967,rlmD,NC_000911.1,909603,910994,-,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,,Op631
slr2072,ilvA,NC_000911.1,911357,912883,+,threonine ammonia-lyase%2C biosynthetic,,Op632
slr2073,slr2073,NC_000911.1,913296,913856,+,cell division protein SepF,A0A6P1VIE2_9SYNC,Op633
slr2074,slr2074,NC_000911.1,914052,914441,+,phosphomannose isomerase type II C-terminal cupin domain,,Op634
,,NC_000911.1,914542,914796,-,BrnA antitoxin family protein,,Op6
sll1965,sll1965,NC_000911.1,914780,915190,-,BrnT family toxin,,Op635
slr2075,groES,NC_000911.1,915313,915624,+,co-chaperone GroES,A0A6P1VJ50_9SYNC,Op636
slr2076,groL,NC_000911.1,915721,917346,+,chaperonin GroEL,,Op637
slr2077,slr2077,NC_000911.1,917816,920014,+,EAL domain-containing protein,,Op638
slr2078,slr2078,NC_000911.1,920331,920915,+,NUDIX hydrolase,,Op639
,,NC_000911.1,920942,921526,-,hypothetical protein,,Op6
sll1747,aroC,NC_000911.1,921549,922637,-,chorismate synthase,,Op640
sll1746,rplL,NC_000911.1,922844,923230,-,50S ribosomal protein L7/L12,A0A6P1VEQ7_9SYNC,Op641
sll1745,rplJ,NC_000911.1,923318,923839,-,50S ribosomal protein L10,A0A6P1VMH6_9SYNC,Op642
sll1744,rplA,NC_000911.1,924086,924802,-,50S ribosomal protein L1,A0A6P1VEL1_9SYNC,Op643
sll1743,rplK,NC_000911.1,924889,925314,-,50S ribosomal protein L11,A0A6P1VIF3_9SYNC,Op643
sll1742,nusG,NC_000911.1,925416,926033,-,transcription termination/antitermination protein NusG,A0A6P1VH60_9SYNC,Op644
ssl3335,secE,NC_000911.1,926313,926558,-,preprotein translocase subunit SecE,A0A6P1VEY2_9SYNC,Op645
sll1740,rplS,NC_000911.1,926860,927222,-,50S ribosomal protein L19,A0A068MW96_SYNY4,Op646
sll1740,rplS,NC_000911.1,926860,927222,-,50S ribosomal protein L19,A0A6P1VJV4_9SYNC,Op646
slr1826,slr1826,NC_000911.1,927366,927758,+,hypothetical protein,,Op647
slr1827,slr1827,NC_000911.1,927755,928750,+,alpha/beta fold hydrolase,,Op648
sll1739,sll1739,NC_000911.1,928806,929885,-,late competence development ComFB family protein,,Op649
sll1738,sll1738,NC_000911.1,930148,930843,-,hypothetical protein,,Op650
sll1737,sll1737,NC_000911.1,930907,931389,-,Tic20 family protein,,Op651
,,NC_000911.1,931454,931576,-,hypothetical protein,,Op6
slr1828,slr1828,NC_000911.1,931639,931959,+,2Fe-2S iron-sulfur cluster-binding protein,,Op652
slr1829,phaE,NC_000911.1,932071,933063,+,class III poly(R)-hydroxyalkanoic acid synthase subunit PhaE,,Op653
slr1830,slr1830,NC_000911.1,933196,934293,+,class III poly(R)-hydroxyalkanoic acid synthase subunit PhaC,,Op654
sll1736,sll1736,NC_000911.1,934324,934707,-,hypothetical protein,,Op655
sll1735,sll1735,NC_000911.1,934835,935236,-,fasciclin domain-containing protein,,Op656
sll1734,sll1734,NC_000911.1,935409,936704,-,CO2 hydration protein,,Op657
sll1733,sll1733,NC_000911.1,936768,938276,-,NADH-quinone oxidoreductase subunit M,,Op658
sll1732,sll1732,NC_000911.1,938393,940240,-,NAD(P)H-quinone oxidoreductase subunit F,,Op659
sll1730,sll1730,NC_000911.1,940638,941270,-,hypothetical protein,,Op660
slr1834,psaA,NC_000911.1,941686,943941,+,photosystem I core protein PsaA,,Op661
slr1835,psaB,NC_000911.1,944187,946382,+,photosystem I core protein PsaB,,Op661
sll1726,sll1726,NC_000911.1,946522,947511,-,phosphotransferase,,Op662
sll1725,sll1725,NC_000911.1,947511,949343,-,ABC transporter ATP-binding protein,,Op662
sll1724,sll1724,NC_000911.1,949397,950536,-,glycosyltransferase family 4 protein,,Op663
sll1723,sll1723,NC_000911.1,950533,951774,-,glycosyltransferase family 4 protein,,Op663
sll1722,sll1722,NC_000911.1,951797,953098,-,glycosyltransferase family protein,,Op663
slr1837,slr1837,NC_000911.1,953752,954456,+,response regulator transcription factor,A0A6P1VF00_9SYNC,Op664
sll1721,sll1721,NC_000911.1,954453,955427,-,alpha-ketoacid dehydrogenase subunit beta,A0A6P1VHQ3_9SYNC,Op665
slr1838,slr1838,NC_000911.1,955805,956116,+,BMC domain-containing protein,,Op666
slr1839,slr1839,NC_000911.1,956275,956613,+,carbon dioxide-concentrating mechanism protein CcmK,A0A068N0I2_SYNY4,Op667
slr1839,slr1839,NC_000911.1,956275,956613,+,carbon dioxide-concentrating mechanism protein CcmK,A0A6P1VCS4_9SYNC,Op667
slr1840,slr1840,NC_000911.1,956673,957788,+,glycerate kinase,,Op668
slr1841,slr1841,NC_000911.1,958137,960029,+,iron uptake porin,,Op669
slr1842,cysK,NC_000911.1,960156,961094,+,cysteine synthase A,,Op670
slr1843,zwf,NC_000911.1,961201,962730,+,glucose-6-phosphate dehydrogenase,,Op671
slr1844,uvrA,NC_000911.1,962888,965800,+,excinuclease ABC subunit UvrA,,Op672
sll1717,sll1717,NC_000911.1,965938,967473,-,hypothetical protein,,Op673
sll1716,sll1716,NC_000911.1,967567,968352,-,IS5 family transposase,,Op674
sll1715,sll1715,NC_000911.1,968487,968900,-,type II toxin-antitoxin system VapC family toxin,,Op675
,,NC_000911.1,968893,969294,-,hypothetical protein,,Op6
,,NC_000911.1,969313,969471,-,hypothetical protein,,Op6
sll1713,cobD,NC_000911.1,969762,970820,-,threonine-phosphate decarboxylase CobD,,Op676
sll1712,sll1712,NC_000911.1,970882,971184,-,HU family DNA-binding protein,A0A068MXP1_SYNY4,Op676
sll1712,sll1712,NC_000911.1,970882,971184,-,HU family DNA-binding protein,A0A6P1VHQ7_9SYNC,Op676
sll1469,sll1469,NC_000911.1,971460,972284,-,GNAT family N-acetyltransferase,,Op677
slr1535,slr1535,NC_000911.1,972485,973954,+,hypothetical protein,,Op678
slr1536,slr1536,NC_000911.1,974053,975489,+,ATP-dependent DNA helicase RecQ,,Op679
slr1537,slr1537,NC_000911.1,975779,976648,+,glycosyltransferase family 2 protein,,Op680
slr1538,cbiD,NC_000911.1,976706,977842,+,cobalt-precorrin-5B (C(1))-methyltransferase CbiD,,Op681
slr1540,slr1540,NC_000911.1,977932,978867,+,NAD-dependent epimerase/dehydratase family protein,,Op682
